,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,Employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age
0,Data Scientist I,Employer Provided Salary:$95K,3.4,"VirginPulse
3.4",Remote,501 to 1000 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),0,1,95.0,95.0,95.0,"VirginPulse
",remote,19
1,Junior Data Scientist,Employer Provided Salary:$55K - $60K,3.9,"Augray
3.9","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,1,55.0,60.0,57.5,"Augray
", WI,9
2,Junior Data Scientist,$72K - $102K (Glassdoor est.),3.3,"Choice Fitness
3.3","Atlanta, GA",Unknown,-1,Company - Public,Beauty & Wellness,Personal Consumer Services,Unknown / Non-Applicable,0,0,72.0,102.0,87.0,"Choice Fitness
", GA,-1
3,Junior Data Scientist,$72K - $102K (Glassdoor est.),3.3,"Choice Fitness
3.3","Atlanta, GA",Unknown,-1,Company - Public,Beauty & Wellness,Personal Consumer Services,Unknown / Non-Applicable,0,0,72.0,102.0,87.0,"Choice Fitness
", GA,-1
4,Data Scientist - l,Employer Provided Salary:$50K - $65K,-1.0,JARB Management Inc,"Clearwater, FL",#N/A,-1,#N/A,#N/A,#N/A,#N/A,0,1,50.0,65.0,57.5,JARB Management Inc, FL,-1
5,Junior Data Scientist,$81K - $113K (Glassdoor est.),2.9,"Soothsayer Analytics
2.9","Livonia, MI",Unknown,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,81.0,113.0,97.0,"Soothsayer Analytics
", MI,-1
6,Jr. Data Scientist,$91K - $131K (Glassdoor est.),3.5,"Kyla
3.5","San Jose, CA",1 to 50 Employees,-1,Company - Private,#N/A,#N/A,Unknown / Non-Applicable,0,0,91.0,131.0,111.0,"Kyla
", CA,-1
7,Data Scientist (REMOTE),Employer Provided Salary:$120K - $133K,3.8,"General Dynamics Mission Systems, Inc
3.8",Remote,10000+ Employees,1952,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),0,1,120.0,133.0,126.5,"General Dynamics Mission Systems, Inc
",remote,71
8,Data Scientist | Remote-US,$81K - $138K (Glassdoor est.),3.4,"IXIS, LLC
3.4","Burlington, VT",1 to 50 Employees,-1,Company - Private,#N/A,#N/A,Unknown / Non-Applicable,0,0,81.0,138.0,109.5,"IXIS, LLC
", VT,-1
9,Data Scientist,Employer Provided Salary:$79K - $111K,4.0,"Veeco
4.0","San Jose, CA",1001 to 5000 Employees,1945,Company - Public,Machinery Manufacturing,Manufacturing,$500 million to $1 billion (USD),0,1,79.0,111.0,95.0,"Veeco
", CA,78
10,Data Scientist (Remote),$77K - $114K (Glassdoor est.),3.5,"Mercy
3.5","Chesterfield, MO",10000+ Employees,1871,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),0,0,77.0,114.0,95.5,"Mercy
", MO,152
11,Data Scientist Co-Op - Masters Degree - Fall 2023,Employer Provided Salary:$31.00 - $37.00 Per Hour,4.3,"Torc Robotics
4.3","Austin, TX",501 to 1000 Employees,2007,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),1,1,31.0,37.0,34.0,"Torc Robotics
", TX,16
12,Junior Data Scientist,Employer Provided Salary:$80K - $100K,3.2,"Club Quarters
3.2","Stamford, CT",501 to 1000 Employees,-1,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,Unknown / Non-Applicable,0,1,80.0,100.0,90.0,"Club Quarters
", CT,-1
13,Data Scientist (REMOTE),Employer Provided Salary:$119K - $132K,3.8,"General Dynamics
3.8",Remote,10000+ Employees,1952,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,1,119.0,132.0,125.5,"General Dynamics
",remote,71
14,"Data Scientist, Data Product",$83K - $114K (Glassdoor est.),4.2,"Syracuse University
4.2","Syracuse, NY",1001 to 5000 Employees,1870,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,83.0,114.0,98.5,"Syracuse University
", NY,153
15,Sr. Data Scientist,Employer Provided Salary:$70.00 - $80.00 Per Hour,-1.0,"3G Federal Solutions, LLC",Remote,1 to 50 Employees,-1,Company - Public,#N/A,#N/A,Unknown / Non-Applicable,1,1,70.0,80.0,75.0,"3G Federal Solutions, LLC",remote,-1
16,Data Scientist,Employer Provided Salary:$80K - $120K,4.2,"FAST GROWING TREES LLC
4.2",Remote,51 to 200 Employees,2005,Company - Private,Home Furniture & Housewares Stores,Retail & Wholesale,Unknown / Non-Applicable,0,1,80.0,120.0,100.0,"FAST GROWING TREES LLC
",remote,18
17,Data Scientist,Employer Provided Salary:$81K - $151K,2.7,"Argo Data
2.7","Richardson, TX",201 to 500 Employees,1980,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),0,1,81.0,151.0,116.0,"Argo Data
", TX,43
18,Data Scientist,$88K - $131K (Glassdoor est.),4.9,"Wise Equation Solutions
4.9","Austin, TX",51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),0,0,88.0,131.0,109.5,"Wise Equation Solutions
", TX,17
19,Data Scientist - 300269,$93K - $126K (Glassdoor est.),4.1,"Grainger
4.1","Lake Forest, IL",10000+ Employees,1927,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),0,0,93.0,126.0,109.5,"Grainger
", IL,96
20,Data Scientist,Employer Provided Salary:$82K - $167K,3.9,"Charles Schwab
3.9","San Francisco, CA",10000+ Employees,1973,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),0,1,82.0,167.0,124.5,"Charles Schwab
", CA,50
21,Data Scientist,$84K - $121K (Glassdoor est.),3.8,"Security Benefit
3.8","Topeka, KS",1001 to 5000 Employees,1891,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,0,0,84.0,121.0,102.5,"Security Benefit
", KS,132
22,Junior Data Scientist,Employer Provided Salary:$55K - $60K,3.9,"Augray
3.9","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,1,55.0,60.0,57.5,"Augray
", WI,9
23,Data Scientist,Employer Provided Salary:$79K - $111K,4.0,"Veeco
4.0","San Jose, CA",1001 to 5000 Employees,1945,Company - Public,Machinery Manufacturing,Manufacturing,$500 million to $1 billion (USD),0,1,79.0,111.0,95.0,"Veeco
", CA,78
24,Data Scientist,$88K - $123K (Glassdoor est.),3.5,"Samsung Austin Semiconductor
3.5","Austin, TX",1001 to 5000 Employees,1996,Subsidiary or Business Segment,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable,0,0,88.0,123.0,105.5,"Samsung Austin Semiconductor
", TX,27
25,Product Data Scientist,Employer Provided Salary:$73K - $176K,3.9,"PayPal
3.9","San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,1,73.0,176.0,124.5,"PayPal
", CA,25
26,Sports Data Scientist,Employer Provided Salary:$90K - $190K,5.0,"Swish Analytics
5.0",Remote,1 to 50 Employees,2014,Company - Private,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,0,1,90.0,190.0,140.0,"Swish Analytics
",remote,9
27,Data Scientist (Remote),$77K - $114K (Glassdoor est.),3.5,"Mercy
3.5","Chesterfield, MO",10000+ Employees,1871,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),0,0,77.0,114.0,95.5,"Mercy
", MO,152
28,Data Scientist,Employer Provided Salary:$24.18 - $42.31 Per Hour,3.9,"Parsons
3.9",Remote,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),1,1,24.18,42.31,33.245000000000005,"Parsons
",remote,79
29,Sr. Data Scientist,$94K - $123K (Glassdoor est.),4.1,"General Mills
4.1","Minneapolis, MN",10000+ Employees,1866,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),0,0,94.0,123.0,108.5,"General Mills
", MN,157
30,Data Scientist,Employer Provided Salary:$122K - $160K,4.0,"MASS MUTUAL FINANCIAL GROUP
4.0","Boston, MA",5001 to 10000 Employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),0,1,122.0,160.0,141.0,"MASS MUTUAL FINANCIAL GROUP
", MA,172
31,Data Scientist,Employer Provided Salary:$110K - $130K,4.0,"LCS
4.0","Des Moines, IA",501 to 1000 Employees,1971,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,0,1,110.0,130.0,120.0,"LCS
", IA,52
32,Data Scientist – Python – REMOTE WORK 44255,$81K - $120K (Glassdoor est.),4.0,"PRIMUS Global Services, Inc
4.0","Minneapolis, MN",501 to 1000 Employees,2002,Private Practice / Firm,Information Technology Support Services,Information Technology,$5 to $25 million (USD),0,0,81.0,120.0,100.5,"PRIMUS Global Services, Inc
", MN,21
33,Data Scientist II,Employer Provided Salary:$124K - $149K,-1.0,TrueML,Remote,51 to 200 Employees,-1,Company - Private,#N/A,#N/A,Unknown / Non-Applicable,0,1,124.0,149.0,136.5,TrueML,remote,-1
34,Data Scientist,$88K - $131K (Glassdoor est.),4.9,"Wise Equation Solutions
4.9","Austin, TX",51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),0,0,88.0,131.0,109.5,"Wise Equation Solutions
", TX,17
